15
8,11,6
168
1,1,55
3,1,90
4,1,24
5,1,35
6,1,19
7,1,63
8,1,27
9,1,32
10,1,39
11,1,37
12,1,6
13,1,19
14,1,3
15,1,11
1,2,32
3,2,35
5,2,18
6,2,40
8,2,24
11,2,6
12,2,17
13,2,27
14,2,10
1,3,88
4,3,49
6,3,41
7,3,21
9,3,39
10,3,17
11,3,40
12,3,17
13,3,29
14,3,15
15,3,6
1,4,9
2,4,54
3,4,91
4,4,22
5,4,58
6,4,30
7,4,6
8,4,7
9,4,49
10,4,11
11,4,22
15,4,13
1,5,16
2,5,86
3,5,9
4,5,82
5,5,28
6,5,65
9,5,21
10,5,6
11,5,2
12,5,12
14,5,22
15,5,7
3,6,66
4,6,6
5,6,24
6,6,50
8,6,65
9,6,11
10,6,13
12,6,2
13,6,5
14,6,5
15,6,3
1,7,3
2,7,50
3,7,14
4,7,23
5,7,34
6,7,12
7,7,11
8,7,15
10,7,9
11,7,11
13,7,8
14,7,38
15,7,1
2,8,1
5,8,40
6,8,5
7,8,7
8,8,23
9,8,2
10,8,8
11,8,1
12,8,24
13,8,2
14,8,1
15,8,1
1,9,2
2,9,14
3,9,8
5,9,3
6,9,16
7,9,1
8,9,9
9,9,12
10,9,3
11,9,4
12,9,7
13,9,1
14,9,6
15,9,0
1,10,0
2,10,0
4,10,30
5,10,0
6,10,26
7,10,7
10,10,10
12,10,2
13,10,8
14,10,1
3,11,14
4,11,2
5,11,0
9,11,9
10,11,0
12,11,21
13,11,17
14,11,1
15,11,0
3,12,0
6,12,36
7,12,5
8,12,4
10,12,2
11,12,5
14,12,7
1,13,0
2,13,0
3,13,0
4,13,4
7,13,1
8,13,1
9,13,5
11,13,0
13,13,0
14,13,2
15,13,0
1,14,0
2,14,0
4,14,0
5,14,0
6,14,2
7,14,2
9,14,2
11,14,2
13,14,6
15,14,1
1,15,0
2,15,0
3,15,0
4,15,0
5,15,0
6,15,0
8,15,0
10,15,12
11,15,0
12,15,5
13,15,9
14,15,2
15,15,2
