17
9,4,15
287
1,1,1
2,1,3
3,1,2
4,1,3
5,1,2
6,1,2
7,1,2
8,1,2
9,1,3
10,1,2
11,1,2
12,1,2
13,1,2
14,1,2
15,1,3
16,1,3
17,1,2
1,2,1
2,2,1
3,2,3
4,2,3
5,2,8
6,2,1
7,2,1
8,2,6
9,2,1
10,2,1
11,2,2
12,2,2
13,2,2
14,2,2
15,2,4
16,2,3
17,2,1
1,3,4
2,3,3
3,3,11
4,3,14
5,3,3
6,3,8
7,3,13
8,3,10
9,3,23
10,3,16
11,3,2
12,3,3
13,3,3
14,3,3
15,3,4
16,3,3
17,3,3
1,4,1
2,4,1
3,4,7
4,4,10
5,4,4
6,4,3
7,4,12
8,4,8
10,4,7
11,4,5
12,4,3
13,4,5
14,4,2
15,4,2
16,4,1
17,4,3
1,5,3
2,5,3
3,5,6
4,5,1
5,5,3
6,5,4
7,5,7
8,5,4
9,5,8
10,5,5
11,5,10
12,5,7
13,5,1
14,5,1
15,5,1
16,5,1
17,5,3
1,6,5
2,6,2
3,6,2
4,6,3
5,6,1
6,6,2
7,6,2
8,6,15
9,6,14
10,6,12
11,6,5
12,6,2
13,6,2
14,6,1
15,6,4
16,6,5
17,6,2
1,7,4
2,7,2
3,7,4
4,7,2
5,7,3
6,7,5
7,7,6
8,7,12
9,7,10
10,7,17
11,7,4
12,7,3
13,7,2
14,7,4
15,7,4
16,7,1
17,7,6
1,8,1
2,8,1
3,8,4
4,8,3
5,8,4
6,8,2
7,8,7
8,8,5
9,8,21
10,8,4
11,8,4
12,8,3
13,8,2
14,8,4
15,8,2
16,8,4
17,8,1
1,9,4
2,9,3
3,9,3
4,9,4
5,9,2
6,9,3
7,9,4
8,9,6
9,9,20
10,9,9
11,9,5
12,9,2
13,9,2
14,9,4
15,9,4
16,9,2
17,9,7
1,10,3
2,10,3
3,10,4
4,10,2
5,10,5
6,10,5
7,10,5
8,10,3
9,10,12
10,10,2
11,10,7
12,10,5
13,10,6
14,10,5
15,10,7
16,10,6
17,10,2
1,11,2
2,11,2
3,11,3
4,11,2
5,11,5
6,11,6
7,11,6
8,11,2
9,11,19
10,11,3
11,11,2
12,11,1
13,11,3
14,11,2
15,11,1
16,11,3
17,11,2
1,12,2
2,12,2
3,12,3
4,12,5
5,12,3
6,12,3
7,12,4
8,12,2
9,12,7
10,12,18
11,12,2
12,12,1
13,12,5
14,12,2
15,12,4
16,12,5
17,12,2
1,13,2
2,13,2
3,13,2
4,13,4
5,13,4
6,13,8
7,13,5
8,13,13
9,13,13
10,13,4
11,13,6
12,13,3
13,13,2
14,13,5
15,13,1
16,13,3
17,13,3
1,14,2
2,14,1
3,14,3
4,14,2
5,14,4
6,14,5
7,14,13
8,14,4
9,14,10
10,14,10
11,14,3
12,14,3
13,14,4
14,14,3
15,14,3
16,14,4
17,14,4
1,15,2
2,15,2
3,15,4
4,15,5
5,15,7
6,15,6
7,15,9
8,15,5
9,15,7
10,15,6
11,15,8
12,15,5
13,15,6
14,15,4
15,15,2
16,15,4
17,15,4
1,16,3
2,16,2
3,16,2
4,16,4
5,16,5
6,16,8
7,16,15
9,16,12
10,16,6
11,16,4
12,16,4
13,16,4
14,16,5
15,16,3
16,16,1
17,16,2
1,17,2
2,17,2
3,17,5
4,17,5
5,17,5
6,17,4
7,17,6
8,17,4
9,17,3
10,17,3
11,17,3
12,17,3
13,17,3
14,17,3
15,17,3
16,17,1
17,17,2
